,PROGRAM,PERIOD,VAR,SEMICOLON,COLON,IDENTIFIER,INTEGER_TYPE,BOOLEAN_TYPE,BEGIN,END,ASSIGNMENT,READ,WRITE,IF,THEN,ELSE,WHILE,DO,ADDITION,SUBTRACTION,MULTIPLICATION,INTEGER_LITERAL,TRUE,FALSE,GREATER,GREATER_EQUAL,EQUAL,LESS_EQUAL,LESS,$,Program,Block,Var_Declaration_Section,Var_Declaration’,Var_Declaration,ID’,Type,Compound_Statement,Statement’,Statement,Simple_Statement,Assignment_Statement,Read_Statement,Write_Statement,Write_statement,Structured_Statement,If_Statement,While_Statement,Expression,Arithmetic_Expression,Term,Factor,Literal,Integer_Literal,Boolean_Literal,Boolean_Expression
0,s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
2,,,s8,,,,,,s7,,,,,,,,,,,,,,,,,,,,,,,4,6,,,,,5,,,,,,,,,,,,,,,,,,
3,,,r7,r7,r7,s3,,,r7,r7,r7,,,,,r7,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,
4,,s10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,s7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,
7,,,,,,s3,,,s7,,,s23,s24,s25,,,s26,,,,,,,,,,,,,,,,,,,22,,21,12,13,14,16,17,18,,15,19,20,,,,,,,,
8,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,28,29,,,,,,,,,,,,,,,,,,,,
9,,,r8,r8,r8,,,,r8,r8,r8,,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,s30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,s31,,,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,r14,,,,,,r14,,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,r15,,,,,,r15,,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,r16,,,,,,r16,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,r17,,,,,,r17,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,r18,,,,,,r18,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,r23,,,,,,r23,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,r24,,,,,,r24,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,r25,,,,,,r25,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,s32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,
24,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,
25,,,,,,s42,,,,,,,,,,,,,,,,s44,s38,s39,,,,,,,,,,,,,,,,,,,,,,,,,,37,40,41,,43,36,35
26,,,,,,s42,,,,,,,,,,,,,,,,s44,s38,s39,,,,,,,,,,,,,,,,,,,,,,,,,,37,40,41,,43,36,45
27,,,,,,,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,s46,,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,s47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,r11,,r11,,,,,,r11,,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,s3,,,s7,,,s23,s24,s25,,,s26,,,,,,,,,,,,,,,,,,,22,,21,48,13,14,16,17,18,,15,19,20,,,,,,,,
32,,,,,,s42,,,,,,,,,,,,,,,,s44,s38,s39,,,,,,,,,,,,,,,,,,,,,,,,,49,50,40,41,,43,36,51
33,,,,r20,,,,,,r20,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,r21,,,,,,r21,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,s52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,r43,,,,,,r43,,,,,r43,r43,,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,s58,s59,,,,,s53,s54,s55,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,r41,,,,,,r41,,,,,r41,r41,,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,r42,,,,,,r42,,,,,r42,r42,,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,r31,,,,,,r31,,,,,r31,r31,,r31,r31,r31,s60,,,,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,r34,,,,,,r34,,,,,r34,r34,,r34,r34,r34,r34,,,,r34,r34,r34,r34,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,r36,,,,,,r36,,,,,r36,r36,,r36,r36,r36,r36,,,,r36,r36,r36,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,r37,,,,,,r37,,,,,r37,r37,,r37,r37,r37,r37,,,,r37,r37,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,r40,,,,,,r40,,,,,r40,r40,,r40,r40,r40,r40,,,,r40,r40,r40,r40,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,28,29,,,,,,,,,,,,,,,,,,,,
47,,,,,,,s64,s65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,r19,,,,,,r19,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,r29,,,,,,r29,,,,,,r29,,,s58,s59,,,,,s53,s54,s55,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,r30,,,,,,r30,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,s3,,,s7,,,s23,s24,s25,,,s26,,,,,,,,,,,,,,,,,,,22,,21,,66,14,16,17,18,,15,19,20,,,,,,,,
53,,,,,,s42,,,,,,,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,40,41,,43,,
54,,,,,,s42,,,,,,,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,40,41,,43,,
55,,,,,,s42,,,,,,,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,40,41,,43,,
56,,,,,,s42,,,,,,,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,40,41,,43,,
57,,,,,,s42,,,,,,,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,40,41,,43,,
